影響範囲,カテゴリ,ルール,例,備考
全体,読みやすさ,"ユーザーが使う言葉で書き、難しい専門用語を使わない。
専門用語の使用が必要な場合は、ツールチップや注釈などで説明を加える","❌「ダッシュボードでは、教師のコンプライアンス率や、ログインセッションの有効時間、学習マスタリーレベル、平均試行回数などのメトリクスをリアルタイムで可視化します。」

✅「ダッシュボードで、教師の稼働状況やレッスン時間、それに生徒の定着具合をひと目で確認できます。
※「定着具合」は、生徒が動画を見たり練習問題に取り組んだ回数から算出したスコアです。」",
全体,読みやすさ,常用漢字を使用する,"❌「想う」
 ✅「思う」",
全体,読みやすさ,漢字とひらがなは3:7くらいの割合で,"❌「宜しくお願い致します」
 ✅「よろしくお願いいたします」 ",https://coliss.com/articles/build-websites/operations/notational-convention-for-writing.html#google_vignette
全体,読みやすさ,丁寧すぎる冗長な敬語は使わない,"❌「〇〇致します」「〇〇と申します」「〇〇させていただきます」
 ✅ 「ください」",
全体,読みやすさ,1つの文は1つのアクションだけを説明する,"❌「この画面で設定を保存し、次にユーザー管理タブに移動してメンバーを追加し、その後チーム全体に通知を送信してください。」

 ✅「まずは、この画面で設定を保存してください。次に、ユーザー管理タブを開いてメンバーを追加します。最後に、チーム全体に通知を送りましょう。」",
全体,読みやすさ,文章が長くなっている場合、並列の事項を箇条書きで表記する,,
全体,メンタルモデル,社内用語は使用しない,"❌「わくわくに相談する」
✅「営業チームに相談する」",
全体,アクセシビリティ,目的語、述語をきちんと記載する。,"❌「保存」
✅「変更を保存」",
全体,読みやすさ,格助詞を省略しない,"❌「操作完了する」
✅「操作を完了する」",
全体,読みやすさ,1文字でも文字を少なくできないか考え、重要性の低い情報はできる限り排除する,"❌「この機能では、データ分析の結果をわかりやすく可視化し、レポートを生成してチーム全体で共有することができます。」

✅「この機能では分析結果をレポート化し、チームで共有できます。」",オンボーディングなどの離脱されやすい箇所や、インパクトが大きいアクションがある箇所などでは1. なぜその行動が必要なのか2. その行動をとるのにかかるコスト（所要時間など）の文脈をきちんと明記すること
全体,アクセシビリティ,複数段落が同じページに存在する場合は、必ず見出しをつける。見出しは必ずその下にくるコンテンツを簡潔に説明したものにする,"❌「リスト」
✅「組織リスト」",
全体,アクセシビリティ,ページタイトルやURLが重複しないように気をつける,"❌ ホーム > 組織 > 詳細 > 詳細
✅ ホーム > 組織の管理 > 組織の詳細 > グループの詳細",
全体,読みやすさ,1行の文字が80文字を超えないようにする,,
全体,読みやすさ,視認性を考慮し、文章の1段落は2～5行以内に収める,,
全体,アクセシビリティ,全てのデバイスで使える動詞にする,"❌「クリック」「タップ」
✅「選択」「開く」",
全体,読みやすさ,個人に関わる設定の場合（アカウント設定、ログイン設定など）の場合は、より自然で一般的な表現を使ってもいい,"🔼「新規パスワード」
✅「新しいパスワード」",
タイトルテキスト,文法的な正しさ,ボタンで「を」を使っていた場合、タイトルでは「の」で表示する,"❌「新規組織を作成」「パッケージ編集」
✅「新規組織の作成」「パッケージの編集」",ボタンはユーザーにアクションを促す要素なので、目的語＋動詞の形（例：「組織を作成」「レポートを送信」）になる。対してタイトルはそのページの内容や目的を表す名詞句だから。
モーダルタイトル,読みやすさ,アラートモーダルのタイトルなど、ユーザーに直接問いかけが必要な場面などでは、自然な敬語口調を使う,"❌「グループの削除」
✅「このグループを削除しますか？」",
ディスクリプション,読みやすさ,ディスクリプションやコンテンツには、体言どめや普通形を使用せず、自然な敬語を使用する（8の通り、丁寧すぎる日本語を使わないように気をつける。あくまでシンプルで簡潔に、わかりやすさ重視で）,"体言止めの代わりに、丁寧形を使う
❌「グループの削除」
✅「このグループを削除しますか？」

丁寧すぎる表現は避ける
❌「恐れ入りますが、手続きをご完了くださいますようお願い申し上げます」
✅「手続きを完了してください」",
CTAボタン,読みやすさ,テキストエリアが大きくなるのを防ぐために、「目的語＋名詞化された動詞」もしくは「名詞化された動詞」の体言止めで表記,"❌ 送信する　
✅ 送信

❌ 組織を作成する　
✅ 組織を作成",Equでは事務的な操作が発生することが多く、ユーザーの自発的な行動を強調する必要はないから
CTAボタン,メンタルモデル,同じ目的の文言は統一する（例：「キャンセル」か「閉じる」で揃える）,"❌ 「続ける」と「次へ」が混在　
✅ 「次へ」で統一",